Full Library Name,Library Name,Branch Name,Full Address,Address,City,County,State,Zip Code,Type of Library,Mailing Address,Mailing City,Mailing County,Mailing State,Mailing Zip Code,Phone Number,FAX Number,Email Address,Website,Library System Membership,Director's First Name,Director's Last Name,Director's Phone Number,Director's Email,New Georeferenced Column,2010 House Districts,2010 Senate Districts,Counties
Cow Creek Band of Umpqua Indians Tribal Library,Cow Creek Band of Umpqua Indians Tribal Library,,2371 Stephens Street Suite 100 Roseburg OR 97470,2371 Stephens Street Suite 100,Roseburg,Douglas,OR,97470,Tribal,2371 Stephens Street Suite 100 Roseburg OR 97470,Roseburg,Douglas,OR,97470,(541) 672-9405,,,,,Tribal Chair,Dan Courtney,,,POINT (-123.35279400000002 43.238649),2,1,2363
Jackson County Library Services - Ashland Branch Library,Jackson County Library Services,Ashland Branch Library,410 Siskiyou Blvd Ashland OR 97520,410 Siskiyou Blvd,Ashland,Jackson,OR,97520,Public,,,,,,(541) 774-6980,(541) 774-6892,info@jcls.org,http://www.jcls.org,NONE,Kristin,Anderson,(541) 774-6987,kanderson@jcls.org,POINT (-122.70954699999999 42.194249),5,3,2367
Warrenton Community Library,Warrenton Community Library,,160 S. Main Ave Warrenton OR 97146,160 S. Main Ave,Warrenton,Clatsop,OR,97146,Public,PO Box 250 Warrenton OR 97146,Warrenton,Clatsop,OR,97146,(503) 861-8156,,library@ci.warrenton.or.us,http://www.ci.warrenton.or.us/library,NONE,Nettie-Lee,Calog,(503) 861-8156,nlcalog@ci.warrenton.or.us,POINT (-123.924954 46.16421),32,16,2318
Jackson County Library Services - Butte Falls Branch Library,Jackson County Library Services,Butte Falls Branch Library,626 Fir Ave. Butte Falls OR 97522,626 Fir Ave.,Butte Falls,Jackson,OR,97522,Public,PO Box 138 Butte Falls  97522,Butte Falls,Jackson,,97522,(541) 865-3511,(541) 865-3511,info@jcls.org,http://www.jcls.org,NONE,LeeAnna,Pierce,(541) 865-3511,lpierce@jcls.org,POINT (-122.567328 42.541728),55,28,2367
Baker County Public Library - Sumpter Branch Library,Baker County Public Library,Sumpter Branch Library,245 S Mill St Sumpter OR 97877,245 S Mill St,Sumpter,Baker,OR,97877,Public,PO Box 67 Sumpter  97877,Sumpter,Baker,,97877,(541) 894-2253,,sumpter@bakerlib.org,,NONE,,,,,POINT (-118.20184900000001 44.744206),60,30,2315
Deschutes Public Library System - Redmond Library,Deschutes Public Library System,Redmond Library,827 SW Deschutes Ave. Redmond OR 97756,827 SW Deschutes Ave.,Redmond,Deschutes,OR,97756,Public,827 SW Deschutes Ave. Redmond  97756,Redmond,,,97756,(541) 312-1050,(541) 548-6358,,http://www.deschuteslibrary.org/redmond/,NONE,Todd,Dunkelberg,(541) 312-1021,toddd@deschuteslibrary.org,POINT (-121.176895 44.273539),53,27,2362
Klamath County Loyd De Lap Law Library,Klamath County Loyd De Lap Law Library,,126 S. Third St. Klamath Falls OR 97601,126 S. Third St.,Klamath Falls,Klamath,OR,97601,Special,126 S. Third St. Klamath Falls OR 97601,Klamath Falls,Klamath,OR,97601,(541) 882-8895 x30,(541) 882-6166,lawlibrary@klamathlibrary.org,https://klamathlibrary.org/loyd-de-lap-law-library,,Nathalie,Johnston,(541) 882-8895 ext 26,njohnston@klamathlibrary.org,POINT (-121.78457699999998 42.222545),56,28,2369
Arlington Public Library,Arlington Public Library,,500 W First St Arlington OR 97812,500 W First St,Arlington,Gilliam,OR,97812,Public,PO Box 339 Arlington  OR 97812,Arlington,,OR,97812,(541) 454-2444,(541) 454-2568,arlingtonpubliclibraryor97812@gmail.com,http://arlington.ploud.net/,NONE,Mary,Mitchell,(541) 454-2444,arlingtonpubliclibraryor97812@gmail.com,POINT (-120.20381 45.717713),57,29,2364
Treasure Valley Community College - Library,Treasure Valley Community College,Library,650 College Blvd Ontario OR 97914-3423,650 College Blvd,Ontario,Malheur,OR,97914-3423,Academic,,,,,,541-881-5929,541-881-2724,librarian@tvcc.cc,https://www.tvcc.cc/library/,,Tara,Dominick,541-881-5928,tdominick@tvcc.cc,POINT (-116.974443 44.022129),60,30,2408
Multnomah County Library - Multnomah County Central Library,Multnomah County Library,Multnomah County Central Library,801 SW 10th Ave Portland OR 97205,801 SW 10th Ave,Portland,Multnomah,OR,97205,Public,205 NE Russell St Portland  97212,Portland,,,97212,,,,,NONE,Angela,Weyrens,503-988-3028,angelaw@multcolib.org,POINT (-122.682466 45.519341),36,18,2410
Coquille Public Library,Coquille Public Library,,105 N Birch St Coquille OR 97423,105 N Birch St,Coquille,Coos,OR,97423,Public,105 N Birch St Coquille OR 97423,Coquille,U.S.A.,OR,97423,(541) 396-2166,,coastlinelibrarynetwork.org/coq,http://www.cclsd.org/libraries,CCLSD,Anne,Conner,(541) 396-2166,aconner@coastlinelibrarynetwork.org,POINT (-124.190756 43.175541),1,1,2320
Sacred Heart Medical Center at RiverBend,Sacred Heart Medical Center at RiverBend,,3333 RiverBend Drive Springfield OR 97477,3333 RiverBend Drive,Springfield,Lane,OR,97477,Special,3333 RiverBend Drive Sacred Heart Medical Center @ RiverBend Springfield OR 97477,Springfield,Lane,OR,97477,(541) 222-2280,(541) 222-2289,libraryshmc@peacehealth.org,http://www.peacehealth.org/Oregon/HIL/hilhome.htm,,Kim,Tyler,(541) 686-7325,ktyler@peacehealth.org,POINT (-123.028655 44.081312),12,6,2371
Multnomah County Library - Gregory Heights Library,Multnomah County Library,Gregory Heights Library,7921 NE Sandy Blvd Portland OR 97213,7921 NE Sandy Blvd,Portland,Multnomah County,OR,97213,Public,,,503.988.5123,,,,,,,NONE,May,Dea,503.988.6963,mayd@multcolib.org,POINT (-122.581067 45.55143),45,23,2410
"Confederated Tribes of Coos, Lower Umpqua & Siuslaw Tribal Library","Confederated Tribes of Coos, Lower Umpqua & Siuslaw Tribal Library",,1245 Fulton Ave. Coos Bay OR 97420,1245 Fulton Ave.,Coos Bay,Coos,OR,97420,Tribal,1245 Fulton Ave. Coos Bay OR 97420,Coos Bay,Coos,OR,97420,(541) 888-1317,,,,,Angela,Bowen,(541) 888-1317,abowen@ctclusi.org,POINT (-124.26536799999998 43.383301),9,5,2320
Western Seminary - Cline-Tunnell Library,Western Seminary,Cline-Tunnell Library,5511 SE Hawthorne Blvd Portland OR 97215-3399,5511 SE Hawthorne Blvd,Portland,,OR,97215-3399,Academic,,,,,,503-517-1840,503-517-1801,library@westernseminary.edu,http://www.westernseminary.edu/library,,Matthew,Thiesen,503-517-1841,mthiesen@westernseminary.edu,POINT (-122.605676 45.511755),46,23,2410
Cottage Grove Public Library,Cottage Grove Public Library,,700 E Gibbs Ave Cottage Grove OR 97424,700 E Gibbs Ave,Cottage Grove,Lane,OR,97424,Public,700 E Gibbs Ave Cottage Grove OR 97424,Cottage Grove,,OR,97424,(541) 942-3828,,library@cottagegrove.org,http://cottagegrove.org/library,NONE,Pete,Barrell,(541) 767-4147,libraryservices@cottagegrove.org,POINT (-123.060682 43.798723),7,4,2371
Lincoln County Library District,Lincoln County Library District,,141 NW 11th Newport OR 97365,141 NW 11th,Newport,Lincoln,OR,97365,Public,PO Box 2027 Newport OR 97365,Newport,,OR,97365,(541) 265-3066,(541) 265-3066,lcld@lincolncolibrarydist.org,https://lincolnlibrary.specialdistrict.org,LCLD,MaryKay,Dahlgreen,(541) 265-3066,marykay.dahlgreen@lincolncolibrarydist.org,POINT (-124.053664 44.644717),10,5,2372
Springfield Public Library,Springfield Public Library,,225 5th St Springfield  OR 97477,225 5th St,Springfield,Lane,OR,97477,Public,225 5th St Springfield OR 97477,Springfield,,OR,97477,(541) 726-3766,(541) 726-3747,library@springfield-or.gov,http://wheremindsgrow.org,NONE,Emily,David,(541) 726-2235,edavid@springfield-or.gov,POINT (-123.01953800000001 44.04732),12,6,2371
Deschutes Public Library System - Sisters Library,Deschutes Public Library System,Sisters Library,110 N Cedar St Sisters OR 97759,110 N Cedar St,Sisters,Deschutes,OR,97759,Public,PO Box 1209 Sisters  97759,Sisters,,,97759,(541) 312-1070,(541) 549-9620,,http://www.deschuteslibrary.org/sisters/,NONE,Todd,Dunkelberg,(541) 312-1021,toddd@deschuteslibrary.org,POINT (-121.54509200000001 44.291693),59,30,2362
North Douglas Library District,North Douglas Library District,,205 West A Ave Drain OR 97435,205 West A Ave,Drain,Douglas County,OR,97435,Public,PO Box 128 Drain  97435,Drain,Douglas,,97435,(541) 836-2648,,info@ndld.org,http://ndld.org,NONE,Miriam,Sisson,541-836-2648,miriam@ndld.org,POINT (-123.316747 43.662094),7,4,2363
Oakridge Public Library,Oakridge Public Library,,48326 E 1st Oakridge OR 97463,48326 E 1st,Oakridge,Lane,OR,97463,Public,PO Box 1410 Oakridge OR 97463,Oakridge,,OR,97463,(541) 782-2258,(541) 782-1081,oakridgelibrary@ci.oakridge.or.us,http://www.ci.oakridge.or.us/,NONE,Georgi,Samuelson,(541) 782-2258 ext 230,oakridgelibrary@ci.oakridge.or.us,POINT (-122.45695099999999 43.74774),7,4,2371
Oregon State University Library - Cascades Campus Library,Oregon State University Library,Cascades Campus Library,1500 SW Chandler Ave Bend OR 97702,1500 SW Chandler Ave,Bend,Deschutes,OR,97702,Academic,1500 SW Chandler Ave Bend OR 97702,Bend,Deschutes,OR,97702,(541) 322-2079,,,http://www.osucascades.edu/library,,Sarah Fay,Philips,(541) 706-2169,sarahfay.philips@osucascades.edu,POINT (-121.333551 44.042142),54,27,2362
Southwestern Oregon Community College - Library,Southwestern Oregon Community College,Library,1988 Newmark Coos Bay OR 97420-2912,1988 Newmark,Coos Bay,Coos,OR,97420-2912,Academic,,,,,,541-888-7270,,library@socc.edu,http://www.socc.edu/library/,,Noelle,Ebert,541-888-7431,noelle.ebert@socc.edu,POINT (-124.255202 43.391675),9,5,2320
Washington County Law Library,Washington County Law Library,,111 NE Lincoln Street Hillsboro Or 97124,111 NE Lincoln Street,Hillsboro,Washington,Or,97124,Special,111 NE Lincoln Street Hillsboro Or 97124,Hillsboro,Washington,Or,97124,(503) 846-8880,(503) 846-3515,lawlibrary@co.washington.or.us,http://www.co.washington.or.us/LawLibrary/index.cfm,,Lee,Van Duzer,(503) 846-8880,lawlibrary@co.washington.or.us,POINT (-122.989303 45.523946),29,15,724
Yamhill County Law Library,Yamhill County Law Library,,536 NE 5th St. McMinnville OR 97128,536 NE 5th St.,McMinnville,Yamhill,OR,97128,Special,535 NE 5th St. McMinnville OR 97128,McMinnville,Yamhill,OR,97128,(503) 434-7444,,library@co.yamhill.or.us,,,Lucy,Huffine,(503) 434-7444,library@co.yamhill.or.us,POINT (-123.19352300000001 45.211433),24,12,2453
Mosier Valley Library,Mosier Valley Library,,203 3rd St Mosier OR 97040,203 3rd St,Mosier,Wasco,OR,97040,Volunteer,PO Box 525 Mosier OR 97040,Mosier,Wasco,OR,97040,541-478-3495,,,,,Glenna McCarger &,Joan Hudson,,,POINT (-122.66707400000001 45.417319),38,19,2317
Hillsboro Public Library - Brookwood Library,Hillsboro Public Library,Brookwood Library,2850 NE Brookwood Parkway Hillsboro OR 97124,2850 NE Brookwood Parkway,Hillsboro,Washington,OR,97124,Public,2850 NE Brookwood Parkway   Hillsboro OR 97124,Hillsboro,,OR,97124,(503) 615-6500,(503) 615-6601,,https://www.hillsboro-oregon.gov/departments/library,WCCLS,Stephanie,Chase,(503) 615-6500 ext 6609,stephanie.chase@hillsboro-oregon.gov,POINT (-122.937032 45.543024),30,15,724
Clatsop Community College - Dora Badollet Library,Clatsop Community College,Dora Badollet Library,1680 Lexington Ave. Astoria OR 97103-3609,1680 Lexington Ave.,Astoria,Clatsop,OR,97103-3609,Academic,1680 Lexington Ave. Astoria  97103-3609,Astoria,Clatsop,,97103-3609,503-338-2462,503-338-2387,,http://lrc.clatsopcc.edu/,,Dan,McClure,503-338-2460,dmcclure@clatsopcc.edu,POINT (-123.821884 46.183485),32,16,2318
Klamath County Library - South Suburban Branch Library,Klamath County Library,South Suburban Branch Library,3625 Summers Lane Klamath Falls OR 97603,3625 Summers Lane,Klamath Falls,Klamath,OR,97603,Public,,,,,,(541) 273-3679,(541) 273-3679,ssubstaff@klamathlibrary.org,http://www.klamathlibrary.org,NONE,Nathalie,Johnston,541-882-8894 ext 26,njohnston@klamathlibrary.org,POINT (-121.737694 42.193271),56,28,2369
Josephine Community Library District - Wolf Creek Branch Library,Josephine Community Library District,Wolf Creek Branch Library,102 Ruth Avenue Wolf Creek OR 97497,102 Ruth Avenue,Wolf Creek,Josephine,OR,97497,Public,200 NW C Street Grants Pass  97526,Grants Pass,Josephine,,97526,541-866-2606,,,,NONE,Alissa,"Donoho, Branch Manager",,,POINT (-123.39686999999999 42.695344),1,1,2368
Corvallis-Benton County Public Library,Corvallis-Benton County Public Library,,645 NW Monroe Ave Corvallis OR 97330,645 NW Monroe Ave,Corvallis,Benton,OR,97330,Public,645 NW Monroe Ave Corvallis OR 97330,Corvallis,,OR,97330,(541) 766-6928,(541) 766-6915,,http://www.cbcpl.net,NONE,Ashlee,Chavez,(541) 766-6910,Ashlee.Chavez@corvallisoregon.gov,POINT (-123.264563 44.56527),16,8,2316
Oregon Institute Of Technology Libraries,Oregon Institute Of Technology Libraries,,3201 Campus Drive Klamath Falls OR 97601-8801,3201 Campus Drive,Klamath Falls,,OR,97601-8801,Academic,3201 Campus Drive Oregon Tech Library - LRC 216 Klamath Falls OR  97601-8801,Klamath Falls,Klamath,,97601-8801,541-885-1772,541-885-1777,libtech@oit.edu,http://www.oit.edu/libraries,,John,Schoppert,541-885-1783,john.schoppert@oit.edu,POINT (-121.78227100000001 42.25421300000001),56,28,2369
Eugene Public Library - Downtown Library,Eugene Public Library,Downtown Library,100 W 10th Ave Eugene OR 97401,100 W 10th Ave,Eugene,Lane,OR,97401,Public,100 W 10th Ave Eugene OR 97401,Eugene,,OR,97401,(541) 682-5450,(541) 682-5898,LibraryAskUs@ci.eugene.or.us,http://www.eugene-or.gov/library,NONE,Will,O'Hearn,(541) 682-5363,wohearn@eugene-or.gov,POINT (-123.09504000000001 44.048842),13,7,2371
Lake Oswego Public Library,Lake Oswego Public Library,,706 4th St Lake Oswego   OR 97034,706 4th St,Lake Oswego,Clackamas,OR,97034,Public,706 4th St Lake Oswego   OR 97034,Lake Oswego,,OR,97034,(503) 636-7628,(503) 635-4171,loref@ci.oswego.or.us,http://lakeoswegolibrary.org,LINCC,Melissa,Kelly,(503) 697-6584,kelly@ci.oswego.or.us,POINT (-122.66698699999999 45.424213),38,19,2317
Jackson County Library Services - Jacksonville Branch Library,Jackson County Library Services,Jacksonville Branch Library,"340 West \C\"" Street"" Jacksonville OR 97530","340 West \C\"" Street""",Jacksonville,Jackson,OR,97530,Public,PO Box 490 Jacksonville  97530,Jacksonville,Jackson,,97530,(541) 899-1665,(541) 899-1665,info@jcls.org,http://www.jcls.org,NONE,Laurel,Prchal,(541) 899-1665,lprchal@jcls.org,POINT (-122.968684 42.315271),5,3,2367
Lake County Library - Paisley Branch Library,Lake County Library,Paisley Branch Library,513 Mill St Paisley OR 97636,513 Mill St,Paisley,Lake,OR,97636,Public,PO Box 99 Paisley  97636,Paisley,Lake,,97636,(541) 943-3911,,janm@lakecountylibrary.org,http://www.lakecountylibrary.org/,NONE,Amy,Hutchinson,541-947-6019,amyh@lakecountylibrary.org,POINT (-120.544083 42.693862),55,28,2370
Pacific Northwest College Of Art - Albert Solheim Library,Pacific Northwest College Of Art,Albert Solheim Library,511 NW Broadway Portland OR 97209,511 NW Broadway,Portland,Multnomah,OR,97209,Academic,511 NW Broadway Portland  97209,Portland,Multnomah,,97209,503-821-8966,,librarian@pnca.edu,http://library.pnca.edu,,Serenity,Ibsen,503-821-8953,sibsen@pnca.edu,POINT (-122.677831 45.527338),33,17,2410
F. Maxine and Thomas W. Cook Memorial Library,F. Maxine and Thomas W. Cook Memorial Library,,2006 4th Street  La Grande OR 97850,2006 4th Street,La Grande,Union,OR,97850,Public,2006 4th Street La Grande OR 97850,La Grande,,OR,97850,(541) 962-1339,,ABonebrake@cityoflagrande.org,http://www.cityoflagrande.org/library,NONE,Aletha,"Bonebrake, Interim",(541) 962-1339,ABonebrake@cityoflagrande.org,POINT (-118.096413 45.329797),58,29,2414
Waldport Public Library,Waldport Public Library,,460 NW Hemlock Waldport OR 97394,460 NW Hemlock,Waldport,Lincoln,OR,97394,Public,PO Box 1357 Waldport  OR 97394,Waldport,Lincoln,OR,97394,(541) 563-5880,(541) 563-6237,waldportlibrary@waldportlibrary.org,http://www.waldportlibrary.org,LCLD,Sue,Bennett,(541) 563-5880,sbennett@waldportlibrary.org,POINT (-124.065931 44.426931),10,5,2372
Winston Library,Winston Library,,440 SE Grape Ave Winston OR 97496,440 SE Grape Ave,Winston,Douglas County,OR,97496,Volunteer,PO Box 638 Winston  97496,Winston,Douglas,,97496,(541) 679-5501,,,https://winston.biblionix.com,NONE,Bob,"Bell, President Friends of Winston Library",,fowlroost@gmail.com,POINT (-123.40718700000001 43.11606100000001),2,1,2363
Oregon City Public Library,Oregon City Public Library,,606 John Adams St. Oregon City  OR 97045,606 John Adams St.,Oregon City,Clackamas,OR,97045,Public,606 John Adams St. Oregon City OR 97045,Oregon City,,OR,97045,(503) 657-8269,,mcole@orcity.org,http://www.orcity.org/library,LINCC,Maureen,Cole,(503) 657-8269  ext 1010,mcole@orcity.org,POINT (-122.60456399999998 45.355579000000006),40,20,2317
Beaverton City Library - Murray Scholls,Beaverton City Library,Murray Scholls,11200 SW Murray Scholls Place Suite 102 Beaverton OR 97007-9702,11200 SW Murray Scholls Place Suite 102,Beaverton,Washington,OR,97007-9702,Public,11200 SW Murray Scholls Place Suite 102 Beaverton OR 97007-9702,Beaverton,Washington,OR,97007-9702,503-644-2197 option 6,(503) 350-3645,librarymail@beavertonoregon.gov,http://www.beavertonlibrary.org,WCCLS,Glenn,Ferdman,(503) 526-3705,gferdman@beavertonoregon.gov,POINT (-122.82781899999999 45.437834),27,14,724
Clatskanie Library District,Clatskanie Library District,,11 Lillich St Clatskanie OR 97016,11 Lillich St,Clatskanie,Columbia,OR,97016,Public,PO Box 577 Clatskanie OR 97016,Clatskanie,,OR,97016,(503) 728-3732,(503) 728-4304,clpublic@clatskanie.com,http://www.clatskanielibrary.org/,NONE,Elizabeth,Kruse,(503) 728-3732,clpublic@clatskanie.com,POINT (-123.20145900000001 46.1051),31,16,2319
Umatilla County Law Library,Umatilla County Law Library,,216 SE 4th Street Pendleton OR 97801,216 SE 4th Street,Pendleton,Umatilla,OR,97801,Special,216 SE 4th Street Room 330 Pendleton OR 97801,Pendleton,Umatilla,OR,97801,(541) 278-6306,,law@umatillacounty.net,,,Beverly,Reid,,,POINT (-118.78338400000001 45.67331800000001),58,29,2413
Tillamook County Library - Bay City Branch Library,Tillamook County Library,Bay City Branch Library,5525 B St Bay City OR 97107,5525 B St,Bay City,Tillamook County,OR,97107,Public,,,,,,503-337-0231,,,,NONE,Debby,Riley,,,POINT (-123.890651 45.524594),32,16,2412
Baker County Public Library - Huntington Branch Library,Baker County Public Library,Huntington Branch Library,55 E. Jefferson Huntington OR 97907,55 E. Jefferson,Huntington,Baker,OR,97907,Public,PO BOX 130 Huntington  97907,Huntington,Baker,,97907,(541) 869-2440,(541) 869-2440,huntington@bakerlib.org,,NONE,,,,,POINT (-117.266963 44.349732),60,30,2315
Tillamook County Library,Tillamook County Library,,1716 Third St Tillamook  OR 97141,1716 Third St,Tillamook,Tillamook,OR,97141,Public,1716 Third St Tillamook OR 97141,Tillamook,,OR,97141,(503) 842-4792,(503) 815-8194,,http://www.tillabook.info,NONE,Sara,Charlton,(503) 842-4792 ext 1707,charlton@co.tillamook.or.us,POINT (-123.84654099999999 45.456324),32,16,2412
Multnomah County Library - Woodstock Library,Multnomah County Library,Woodstock Library,6008 SE 49th Ave Portland OR 97206,6008 SE 49th Ave,Portland,Multnomah County,OR,97206,Public,,,,,,(503)988-5123,(503)988-5173,,,NONE,Carol,Uhte,(503)988-4223,carolu@multcolib.org,POINT (-122.612413 45.478859),42,21,2410
Klamath County Library - Keno Branch Library,Klamath County Library,Keno Branch Library,"15555 Hwy. 66, Space 8 Keno OR 97627","15555 Hwy. 66, Space 8",Keno,Klamath,OR,97627,Public,PO Box 283 Keno  97627,Keno,Klamath,,97627,(541) 273-0750,(541) 273-0750,kenostaff@klamathlibrary.org,http://www.klamathlibrary.org,NONE,Nathalie,Johnston,(541) 882-8894 ext 23,njohnston@klamathlibrary.org,POINT (-121.93179 42.125542),56,28,2369
Garden Home Community Library,Garden Home Community Library,,7475 SW Oleson Rd Portland OR 97223,7475 SW Oleson Rd,Portland,Washington,OR,97223,Public,7475 SW Oleson Rd Portland OR 97223,Portland,,OR,97223,(503) 245-9932,,,http://gardenhomelibrary.org/,WCCLS,Molly,Carlisle,(503) 245-9932,mollyc@wccls.org,POINT (-122.75231300000002 45.466735),27,14,724
Northwest Christian University - E P Kellenberger Library,Northwest Christian University,E P Kellenberger Library,1188 Kincaid Eugene OR 97401-3727,1188 Kincaid,Eugene,Lane,OR,97401-3727,Academic,828 East 11th Ave. Eugene  97401,Eugene,Lane,,97401,541-684-7235,541-684-7333,librarian@nwcu.edu,http://www.nwcu.edu/library,,Steve,Silver,541-684-7237,ssilver@nwcu.edu,POINT (-123.078634 44.046759),11,6,2371
Ukiah Public-School Library,Ukiah Public-School Library,,201 Hill St Ukiah OR 97880,201 Hill St,Ukiah,Umatilla,OR,97880,Public,PO Box 218 Ukiah OR 97880,Ukiah,,OR,97880,(541) 427-3735,(541) 427-3432,,http://ukiahlibrary.weebly.com/,UCSLD,Audrey,Durfey,(541) 427-3735,Audrey.Durfey@ukiah.k12.or.us,POINT (-118.93296200000002 45.13562100000001),58,29,2413
LINCC Library Services - Network,LINCC Library Services - Network,,"1810 Red Soils Court, #110 Oregon City OR 97045","1810 Red Soils Court, #110",Oregon City,Clackamas,OR,97045,Public,"1810 Red Soils Court, #110 Oregon City OR 97045",Oregon City,Clackamas,OR,97045,(503) 723-4888,(503) 655-8238,contact@lincc.org,http://www.lincc.org,LINCC,Kathryn,Kohl,(503) 723-4889,kkohl@lincc.org,POINT (-122.5949 45.33153),40,20,2317
Jackson County Library Services - Rogue River Branch Library,Jackson County Library Services,Rogue River Branch Library,412 E Main St Rogue River OR 97537,412 E Main St,Rogue River,Jackson,OR,97537,Public,,,,,,(541) 864-8850,(541) 864-8871,info@jcls.org,http://www.jcls.org,NONE,Michael,Grutchfield,(541) 864-8859,mgrutchfield@jcls.org,POINT (-123.165542 42.43294),4,2,2367
Confederated Tribes of Siletz Tribal Library,Confederated Tribes of Siletz Tribal Library,,201 S.E. Swan Avenue  Siletz OR 97380,201 S.E. Swan Avenue,Siletz,Lincoln,OR,97380,Tribal,PO Box 549  Siletz OR 97380,Siletz,Lincoln,OR,97380,(541) 444-2532,,,http://www.ctsi.nsn.us,,Robert,Kentta,,,POINT (-123.91665600000002 44.72022700000001),10,5,2372
Tillamook County Library - Tillamook County Library Bookmobile,Tillamook County Library,Tillamook County Library Bookmobile,1716 Third St Tillamook OR 97141,1716 Third St,Tillamook,Tillamook,OR,97141,Public,,,,,,,,,,NONE,,,,,POINT (-123.84654099999999 45.456324),32,16,2412
Sheridan Public Library,Sheridan Public Library,,142 NW Yamhill Street Sheridan OR 97378-1843,142 NW Yamhill Street,Sheridan,Yamhill,OR,97378-1843,Public,PO Box 248 Sheridan OR 97378-1843,Sheridan,Yamhill,OR,97378-1843,(503) 843-3420,(503) 843-2561,pennyt@ccrls.org,https://www.cityofsheridanor.com/library,CCRLS,Frank,"Sheridan, City MGR/Interim Director",(503) 843-6100,fsheridan@cityofsheridanor.com,POINT (-123.39580499999998 45.100298),10,5,2453
Grant County Library - Grant County Bookmobile,Grant County Library,Grant County Bookmobile,507 S Canyon Blvd John Day OR 97845,507 S Canyon Blvd,John Day,Grant County,OR,97845,Public,507 S Canyon Blvd John Day  97845,John Day,Grant County,,97845,541-575-1992,,grant047@ortelco.net,http://www.grantcountylibrary.net,,Vicki,Bond,541-575-1992,grantdir@ortelco.net,POINT (-118.952469 44.410238),60,30,2365
Tualatin Public Library,Tualatin Public Library,,18878 SW Martinazzi Ave Tualatin   OR 97062,18878 SW Martinazzi Ave,Tualatin,Washington,OR,97062,Public,18878 SW Martinazzi Ave Tualatin OR 97062,Tualatin,,OR,97062,(503) 691-3074,(503) 692-3512,librarymail@tualatin.gov,http://www.tualatinoregon.gov/library,WCCLS,Jerianne,Thompson,503-691-3063,JThompson@tualatin.gov,POINT (-122.758747 45.383534),37,19,724
Chetco Community Public Library,Chetco Community Public Library,,405 Alder St Brookings OR 97415,405 Alder St,Brookings,Curry,OR,97415,Public,405 Alder St Brookings OR 97415,Brookings,,OR,97415,(541) 469-7738,(541) 469-6746,,http://www.chetcolibrary.org,NONE,Julie,Retherford,(541) 469-7738,julie@chetcolibrary.org,POINT (-124.276004 42.052487),1,1,2321
Oregon Institute of Technology Libraries - Wilsonville Library,Oregon Institute of Technology Libraries,Wilsonville Library,27500 SW Parkway Ave. Wilsonville OR 97070-9296,27500 SW Parkway Ave.,Wilsonville,,OR,97070-9296,Academic,27500 SW Parkway Ave Wilsonville OR 97070,Wilsonville,,OR,97070,(503) 821-1258,(503) 218-1126,,http://www.oit.edu/libraries/about/collections/wilsonville,,Dawn,Lowe-Wincentsen,503-821-1258,dawn.lowewincentsen@oit.edu,POINT (-122.768345 45.322847),26,13,2317
Roseburg Public Library,Roseburg Public Library,,"1409 NE Diamond Lake Blvd., Ste. 100 Roseburg OR 97470","1409 NE Diamond Lake Blvd., Ste. 100",Roseburg,Douglas,OR,97470,Public,"1409 NE Diamond Lake Blvd., Ste. 100 Roseburg OR 97470",Roseburg,,OR,97470,(541) 492-7050,,library@cityofroseburg.org,http://www.roseburg.publiclibrary.org,NONE,Kris,Wiley,(541) 492-7051,KWiley@cityofroseburg.org,POINT (-123.34049000000002 43.213582),2,1,2363
Clackamas County Library - Oak Lodge Library,Clackamas County Library,Oak Lodge Library,16201 SE McLoughlin Blvd. Oak Grove OR 97267,16201 SE McLoughlin Blvd.,Oak Grove,Clackamas,OR,97267,Public,,,,,,(503) 655-8543,,oaklodge@lincc.org,http://www.clackamas.us/lib,LINCC,Mitzi,Olson,503-655-8570,molson@co.clackamas.or.us,POINT (-122.624156 45.405883),41,21,2317
Maitripa Institute,Maitripa Institute,,1119 SE Market Street Portland OR 97214,1119 SE Market Street,Portland,,OR,97214,Academic,,,,,,503-235-2477,503-231-6408,library@maitripa.org,http://www.maitripa.org/library/,,Linda,Brown,,library@maitripa.org,POINT (-122.654231 45.5108),42,21,2410
Oregon State University - Guin Library,Oregon State University,Guin Library,2030 SE Marine Science Dr Newport OR 97365-5296,2030 SE Marine Science Dr,Newport,Lincoln,OR,97365-5296,Academic,2030 SE Marine Science Dr Newport  97365,Newport,Lincoln,,97365,541-867-0249,,hmsc.library@oregonstate.edu,http://guin.library.oregonstate.edu/,,Mary,Markland,541-867-0108,mary.markland@oregonstate.edu,POINT (-124.04646799999999 44.624529),10,5,2372
Hood River County Library District,Hood River County Library District,,502 State St Hood River OR 97031,502 State St,Hood River,Hood River,OR,97031,Public,502 State St Hood River OR 97031,Hood River,Hood River,OR,97031,541-386-2535,,info@hoodriverlibrary.org,http://www.hoodriverlibrary.org/,NONE,Rachael,Fox,541-387-7062,rachael@hoodriverlibrary.org,POINT (-121.51570499999998 45.708178),52,26,2366
