District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,Teacher Experience,Same Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average,College Going,College Going Change from Last Year,College Going Change Value,Oregon College Going Average
1965,Coos Bay SD 9,201,Marshfield Senior High School,Travis Howard,Grade(s) 8-12,H,Coos,952,6%,12,15%,53%,98%,43,12,2,19%,72%,Yes,24,No Change,,25,69%,Increase,5%,80%,,,,,,,,,,94%,Increase,11%,85%,91%,Increase,9%,79%,87%,Increase,1%,85%,66%,Increase,4%,62%
1965,Coos Bay SD 9,197,Millicoma School,Gary Roberts,Grade(s) 4-7,E,Coos,483,<5%,2,16%,>95%,96%,25,7,2,18%,80%,Yes,24,Decrease,2,25,76%,No Change,,80%,Average,44%,No Change,,53%,34%,Decrease,1%,40%,,,,,,,,,,,,,,,,
1965,Coos Bay SD 9,4079,Resource Link Charter School,Greg Mulkey,Grade(s) K-12,H,Coos,78,*,4,15%,>95%,92%,4,<1,0,0%,100%,Yes,8,Decrease,5,25,74%,Decrease,17%,80%,,,,,,,,,,67%,Decrease,3%,85%,43%,Increase,16%,79%,50%,Increase,19%,85%,,Unavailable,,62%
1965,Coos Bay SD 9,199,Sunset School,Shelly McKnight,Grade(s) 4-7,E,Coos,442,<5%,6,26%,>95%,97%,27,11,1,28%,63%,Yes,22,Decrease,3,25,69%,Decrease,5%,80%,Low,34%,Decrease,2%,53%,25%,Decrease,1%,40%,,,,,,,,,,,,,,,,
1964,Coquille SD 8,191,Coquille Junior Senior High,Jeff Philley,Grade(s) 7-12,H,Coos,342,<5%,4,11%,>95%,94%,21,7,0,17%,57%,Yes,19,Increase,1,25,80%,Increase,4%,80%,,,,,,,,,,65%,Decrease,8%,85%,98%,Increase,5%,79%,98%,No Change,,85%,59%,Decrease,18%,62%
1964,Coquille SD 8,4025,Coquille Valley Elementary,Geoff Wetherell,Grade(s) 2-6,E,Coos,376,<5%,2,15%,>95%,97%,22,11,0,29%,55%,Yes,23,No Change,,25,82%,Increase,4%,80%,High,63%,Increase,6%,51%,51%,Increase,3%,42%,,,,,,,,,,,,,,,,
1964,Coquille SD 8,189,Lincoln School of Early Learning,Amy Flora,Grade(s) K-1,E,Coos,142,*,3,14%,>95%,89%,8,7,0,47%,75%,Yes,18,Decrease,2,25,81%,Increase,17%,80%,*,,Unavailable,,,,Unavailable,,,,,,,,,,,,,,,,,,
1964,Coquille SD 8,4857,Winter Lakes School,Tony Jones,Grade(s) 3-12,H,Coos,387,*,2,13%,>95%,87%,8,6,0,37%,73%,Yes,17.5,Increase,3,25,57%,Decrease,6%,80%,,,,,,,,,,19%,Increase,12%,85%,47%,Increase,9%,79%,61%,Decrease,6%,85%,32%,Increase,12%,62%
2186,Corbett SD 39,4592,Corbett School,Randy Trani,Grade(s) K-12,H,Multnomah,1210,<5%,16,14%,22%,91%,52,13,0,8%,80%,Yes,25,No Change,,25,79%,Decrease,2%,80%,,,,,,,,,,94%,Increase,2%,85%,94%,Increase,1%,79%,95%,Decrease,2%,85%,78%,Increase,4%,62%
1901,Corvallis SD 509J,27,Adams Elementary School,Elizabeth Martin,Grade(s) K-5,E,Benton,444,10%,17,9%,27%,96%,21,9,<1,13%,90%,No,27.5,Increase,2,25,91%,Increase,3%,80%,Average,58%,Decrease,8%,51%,54%,Decrease,2%,43%,,,,,,,,,,,,,,,,
1901,Corvallis SD 509J,28,Cheldelin Middle School,Darren Bland,Grade(s) 6-8,M,Benton,605,7%,15,8%,29%,94%,27,9,1,22%,87%,Yes,28,Decrease,2,25,82%,Decrease,4%,80%,Average,69%,Decrease,3%,54%,59%,Decrease,4%,39%,,,,,,,,,,,,,,,,
1901,Corvallis SD 509J,40,Corvallis High School,Matt Boring,Grade(s) 9-12,H,Benton,1202,17%,26,10%,31%,94%,56,24,4,13%,92%,Yes,24,Decrease,1,25,57%,Decrease,5%,80%,,,,,,,,,,93%,Increase,2%,85%,89%,Increase,3%,79%,94%,Increase,2%,85%,72%,Increase,3%,62%
1901,Corvallis SD 509J,41,Crescent Valley High School,Aaron McKee,Grade(s) 9-12,H,Benton,939,7%,20,8%,19%,94%,45,22,4,12%,89%,No,24,Decrease,2,25,66%,Decrease,6%,80%,,,,,,,,,,96%,Increase,>2%,85%,89%,Increase,2%,79%,92%,Decrease,2%,85%,75%,Decrease,1%,62%
1901,Corvallis SD 509J,1322,Franklin School,Craig Harlow,Grade(s) K-8,E,Benton,331,11%,17,10%,18%,93%,16,5,0,22%,84%,No,27,Decrease,1,25,87%,Decrease,5%,80%,Average,73%,Decrease,4%,52%,65%,Decrease,6%,41%,,,,,,,,,,,,,,,,
1901,Corvallis SD 509J,30,Garfield Elementary School,Leigh Santy,Grade(s) K-5,E,Benton,440,40%,10,9%,57%,94%,25,13,1,11%,81%,Yes,24,No Change,,25,86%,Decrease,1%,80%,Average,42%,No Change,,51%,39%,Decrease,6%,43%,,,,,,,,,,,,,,,,
1901,Corvallis SD 509J,33,Hoover Elementary School,Anna Marie Gosser,Grade(s) K-5,E,Benton,393,12%,18,6%,14%,96%,22,5,0,30%,67%,Yes,24,Decrease,2,25,90%,Decrease,1%,80%,High,76%,No Change,,51%,73%,Decrease,5%,43%,,,,,,,,,,,,,,,,
1901,Corvallis SD 509J,4637,Inavale Community Partners dba Muddy Creek Charter School,Bryan Traylor,Grade(s) K-5,E,Benton,107,*,2,13%,18%,75%,7,3,0,12%,100%,Yes,23,No Change,,25,84%,Decrease,3%,80%,High,72%,Increase,2%,51%,78%,Increase,12%,43%,,,,,,,,,,,,,,,,
1901,Corvallis SD 509J,35,Jefferson Elementary School,Jennifer Still,Grade(s) K-5,E,Benton,332,7%,15,19%,23%,91%,20,15,<1,12%,91%,Yes,24,Decrease,2,25,89%,Increase,2%,80%,Average,68%,Increase,3%,51%,62%,Increase,1%,43%,,,,,,,,,,,,,,,,
1901,Corvallis SD 509J,36,Lincoln Elementary School,Aaron Hale,Grade(s) K-5,E,Benton,358,18%,6,8%,46%,93%,20,6,0,12%,76%,Yes,24,No Change,,25,87%,Increase,1%,80%,Low,47%,Increase,5%,51%,35%,Decrease,2%,43%,,,,,,,,,,,,,,,,
1901,Corvallis SD 509J,38,Linus Pauling Middle School,Alicia Ward Satey,Grade(s) 6-8,M,Benton,743,22%,15,14%,43%,94%,38,23,2,20%,81%,Yes,24,Decrease,1,25,80%,Increase,2%,80%,Average,59%,Increase,5%,54%,42%,Decrease,4%,39%,,,,,,,,,,,,,,,,
1901,Corvallis SD 509J,37,Mt View Elementary School,Byron Bethards,Grade(s) K-5,E,Benton,321,*,6,8%,39%,94%,17,6,0,17%,75%,No,25,Increase,1,25,82%,Decrease,1%,80%,Average,52%,Decrease,5%,51%,38%,Decrease,8%,43%,,,,,,,,,,,,,,,,
1901,Corvallis SD 509J,39,Wilson Elementary School,Eric Beasley,Grade(s) K-5,E,Benton,424,14%,17,11%,54%,94%,22,9,<1,26%,83%,Yes,25,Increase,1,25,79%,No Change,,80%,Average,57%,Increase,4%,51%,49%,Decrease,1%,43%,,,,,,,,,,,,,,,,
2216,Cove SD 15,3434,Cove Charter School,Mat Miles,Grade(s) K-12,H,Union,292,*,1,*,29%,80%,20,2,0,10%,85%,Yes,20,Increase,3,25,82%,Decrease,5%,80%,,,,,,,,,,88%,Decrease,>7%,85%,69%,Decrease,20%,79%,89%,Decrease,2%,85%,38%,Decrease,29%,62%
2086,Creswell SD 40,570,Creslane Elementary School,Amy Halley,Grade(s) K-5,E,Lane,633,5%,2,16%,52%,94%,29,10,<1,13%,77%,Yes,27,Increase,2,25,79%,Decrease,1%,80%,Average,48%,Decrease,8%,51%,44%,Decrease,6%,43%,,,,,,,,,,,,,,,,
2086,Creswell SD 40,572,Creswell High School,Adam Watkins,Grade(s) 9-12,H,Lane,350,8%,4,20%,45%,98%,17,5,1,10%,100%,No,26,Increase,2,25,89%,Increase,7%,80%,,,,,,,,,,89%,Increase,1%,85%,87%,Increase,9%,79%,86%,Increase,1%,85%,44%,Decrease,15%,62%
2086,Creswell SD 40,571,Creswell Middle School,Shirley Burrus,Grade(s) 6-8,M,Lane,296,5%,3,20%,52%,97%,13,4,1,6%,94%,Yes,25.5,Increase,1,25,85%,Decrease,3%,80%,Average,48%,Decrease,8%,54%,30%,Decrease,14%,39%,,,,,,,,,,,,,,,,
1970,Crook County SD,5302,Barnes Butte Elementary,Jim Bates,Grade(s) K-5,E,Crook,633,13%,2,13%,64%,96%,32,14,1,11%,76%,Yes,25,Decrease,1,25,86%,Decrease,2%,80%,Average,47%,Decrease,2%,51%,38%,No Change,,43%,,,,,,,,,,,,,,,,
1970,Crook County SD,265,Brothers Elementary School,Jim Bates,Grade(s) K-8,E,Deschutes,12,*,1,*,>95%,69%,2,<1,0,8%,100%,No,12,Increase,1,25,91%,Unavailable,,80%,*,,Unavailable,,52%,,Unavailable,,41%,,,,,,,,,,,,,,,,
1970,Crook County SD,225,Crook County High School,Michelle Jonas,Grade(s) 9-12,H,Crook,709,11%,11,14%,46%,94%,40,8,2,10%,80%,Yes,22,No Change,,25,77%,Decrease,2%,80%,,,,,,,,,,90%,Increase,2%,85%,92%,Increase,2%,79%,94%,No Change,,85%,52%,Decrease,3%,62%
1970,Crook County SD,224,Crook County Middle School,Kurt Sloper,Grade(s) 6-8,M,Crook,608,13%,5,18%,55%,96%,34,7,1,17%,69%,Yes,26,Increase,1,25,80%,Decrease,5%,80%,High,53%,Decrease,5%,54%,40%,Increase,2%,39%,,,,,,,,,,,,,,,,
1970,Crook County SD,219,Crooked River Elementary School,Kimberly Bonner,Grade(s) K-5,E,Crook,602,<5%,8,16%,62%,94%,31,16,1,17%,76%,No,22.5,Decrease,1,25,86%,Increase,1%,80%,High,57%,Increase,5%,51%,44%,Decrease,1%,43%,,,,,,,,,,,,,,,,
1970,Crook County SD,222,Paulina School,Kimberly Bonner,Grade(s) K-8,E,Crook,21,*,2,*,>95%,95%,2,1,0,16%,100%,Yes,10.5,No Change,,25,>95%,No Change,,80%,High,73%,Unavailable,,52%,25%,Unavailable,,41%,,,,,,,,,,,,,,,,
1970,Crook County SD,4392,Pioneer Secondary Alternative High School,Michelle Jonas,Grade(s) 9-12,H,Crook,62,*,2,19%,>95%,88%,3,<1,0,39%,100%,No,13,No Change,,25,12%,Decrease,12%,80%,,,,,,,,,,,Unavailable,,85%,51%,Increase,21%,79%,60%,Increase,3%,85%,23%,Increase,11%,62%
1970,Crook County SD,223,Powell Butte Community Charter School,Jennifer Berry-O'Shea,Grade(s) K-8,E,Crook,210,*,3,12%,28%,92%,12,6,0,23%,64%,Yes,22,No Change,,25,80%,Decrease,4%,80%,High,63%,Decrease,5%,52%,47%,Increase,2%,41%,,,,,,,,,,,,,,,,
2089,Crow-Applegate-Lorane SD 66,589,Applegate Elementary School,Malcom McRae,Grade(s) K-6,E,Lane,121,*,1,13%,55%,93%,8,1,0,0%,100%,Yes,15,Decrease,3,25,82%,Decrease,1%,80%,Average,49%,Decrease,2%,51%,43%,Increase,6%,42%,,,,,,,,,,,,,,,,
2089,Crow-Applegate-Lorane SD 66,592,Crow Middle/High School,Kevin Rodemack,Grade(s) 7-12,H,Lane,121,*,2,21%,41%,93%,11,1,0,28%,73%,Yes,16,Increase,2,25,73%,Increase,3%,80%,,,,,,,,,,95%,Increase,10%,85%,63%,Decrease,22%,79%,89%,Increase,4%,85%,27%,Decrease,12%,62%
2050,Culver SD 4,425,Culver Elementary School,Stefanie Garber,Grade(s) K-5,E,Jefferson,313,19%,2,14%,67%,94%,16,6,<1,7%,83%,Yes,26.5,Increase,1,25,82%,Increase,1%,80%,Low,42%,Decrease,11%,51%,46%,No Change,,43%,,,,,,,,,,,,,,,,
2050,Culver SD 4,426,Culver High School,Brad Kudlac,Grade(s) 9-12,H,Jefferson,201,21%,2,14%,50%,96%,15,1,1,10%,79%,No,16,Increase,1,25,85%,Increase,3%,80%,,,,,,,,,,92%,Increase,10%,85%,95%,Increase,11%,79%,86%,Increase,2%,85%,52%,Decrease,5%,62%
2050,Culver SD 4,1295,Culver Middle School,Brad Kudlac,Grade(s) 6-8,M,Jefferson,175,25%,2,17%,65%,97%,8,4,<1,19%,45%,Yes,29,Increase,3,25,80%,Increase,1%,80%,High,60%,Increase,2%,54%,26%,Decrease,10%,39%,,,,,,,,,,,,,,,,
2190,Dallas SD 2,5298,Dallas Community Charter,Bill Conlon,Grade(s) K-8,E,Polk,195,*,1,*,*,43%,6,2,0,35%,60%,No,44.5,Increase,12,25,>95%,No Change,,80%,Average,40%,Increase,6%,52%,17%,Increase,5%,41%,,,,,,,,,,,,,,,,
2190,Dallas SD 2,995,Dallas High School,Steve Spencer,Grade(s) 9-12,H,Polk,841,<5%,6,16%,33%,95%,44,22,4,8%,75%,Yes,23,Decrease,1,25,88%,No Change,,80%,,,,,,,,,,84%,Increase,4%,85%,76%,No Change,,79%,82%,Decrease,2%,85%,66%,Increase,6%,62%
2190,Dallas SD 2,994,LaCreole Middle School,Jamie Richardson,Grade(s) 6-8,M,Polk,684,<5%,6,20%,40%,92%,34,18,1,12%,79%,Yes,28,Increase,3,25,74%,Decrease,1%,80%,Low,47%,Decrease,1%,54%,34%,Decrease,8%,39%,,,,,,,,,,,,,,,,
2190,Dallas SD 2,3461,Luckiamute Valley Charter School,Christy Wilkins,Grade(s) K-8,E,Polk,184,*,3,11%,29%,87%,13,7,0,19%,69%,No,13,Decrease,5,25,78%,Increase,3%,80%,Average,46%,Increase,1%,52%,31%,Increase,3%,41%,,,,,,,,,,,,,,,,
2190,Dallas SD 2,989,Lyle Elementary School,Amber Eaton,Grade(s) K-3,E,Polk,415,5%,4,14%,39%,95%,20,19,0,12%,85%,No,26,Increase,1,25,84%,Increase,3%,80%,*,33%,Decrease,13%,47%,33%,Decrease,20%,47%,,,,,,,,,,,,,,,,
2190,Dallas SD 2,990,Oakdale Heights Elementary School,Todd Baughman,Grade(s) K-3,E,Polk,394,<5%,2,12%,36%,93%,19,15,0,11%,68%,No,25,No Change,,25,84%,Decrease,1%,80%,*,31%,Decrease,15%,47%,31%,Decrease,20%,47%,,,,,,,,,,,,,,,,
2190,Dallas SD 2,993,Whitworth Elementary School,Steve Martinelli,Grade(s) 4-5,E,Polk,424,<5%,3,24%,49%,97%,21,15,0,13%,89%,No,30,Increase,2,25,84%,Increase,1%,80%,Average,50%,Decrease,2%,53%,34%,Decrease,4%,41%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,980,Alice Ott Middle School,Duane Larson,Grade(s) 6-8,M,Multnomah,738,44%,25,9%,68%,93%,39,8,2,6%,95%,No,28,Increase,2,25,87%,Increase,3%,80%,High,53%,Decrease,4%,54%,37%,Decrease,9%,39%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,3580,Arthur Academy,John Luebke,Grade(s) K-5,E,Multnomah,164,16%,12,6%,39%,94%,9,0,0,42%,20%,Yes,27,Decrease,1,25,93%,No Change,,80%,Average,69%,Decrease,6%,51%,44%,Decrease,8%,43%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,972,Cherry Park Elementary School,Kate Barker,Grade(s) K-5,E,Multnomah,440,27%,22,13%,66%,90%,25,15,1,7%,92%,Yes,25.5,No Change,,25,90%,Increase,3%,80%,Average,64%,Increase,2%,51%,62%,Increase,5%,43%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,983,David Douglas High School,John Bier,Grade(s) 9-12,H,Multnomah,2809,51%,45,9%,70%,96%,154,20,9,9%,79%,Yes,24,Decrease,2,25,69%,Decrease,1%,80%,,,,,,,,,,87%,Increase,1%,85%,77%,Increase,4%,79%,83%,Decrease,2%,85%,60%,Increase,3%,62%
2187,David Douglas SD 40,3525,Earl Boyles Elementary,Ericka Guynes,Grade(s) K-5,E,Multnomah,444,30%,17,14%,75%,94%,23,16,1,13%,88%,Yes,27,Increase,3,25,87%,Decrease,3%,80%,Average,48%,Decrease,1%,51%,39%,Increase,2%,43%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,981,Floyd Light Middle School,Doug Pease,Grade(s) 6-8,M,Multnomah,744,42%,33,9%,70%,93%,41,9,2,7%,91%,Yes,25,Decrease,2,25,82%,Increase,2%,80%,Average,48%,No Change,,54%,34%,No Change,,39%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,973,Gilbert Heights Elementary School,Shane Bassett,Grade(s) K-5,E,Multnomah,586,40%,22,8%,76%,93%,27,13,1,12%,96%,Yes,25,Decrease,1,25,79%,Decrease,1%,80%,Average,46%,Increase,1%,51%,38%,Increase,6%,43%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,974,Gilbert Park Elementary School,Stacie Moncrief,Grade(s) K-5,E,Multnomah,595,39%,33,9%,74%,90%,27,14,1,14%,75%,Yes,24.5,No Change,,25,83%,No Change,,80%,High,43%,Increase,3%,51%,33%,Increase,5%,43%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,975,Lincoln Park Elementary School,Ceci De Valdenebro,Grade(s) K-5,E,Multnomah,584,50%,23,11%,>95%,93%,29,12,1,14%,80%,No,25,No Change,,25,82%,No Change,,80%,High,42%,Increase,5%,51%,30%,Increase,6%,43%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,976,Menlo Park Elementary School,Kellie Burkhardt,Grade(s) K-5,E,Multnomah,454,32%,24,10%,69%,96%,25,16,1,13%,84%,Yes,25,No Change,,25,78%,Decrease,4%,80%,High,46%,Increase,6%,51%,34%,Increase,6%,43%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,977,Mill Park Elementary School,Bob Stelle,Grade(s) K-5,E,Multnomah,475,56%,26,12%,>95%,94%,25,18,1,12%,72%,Yes,26,Increase,1,25,79%,Decrease,4%,80%,High,28%,Increase,4%,51%,18%,Increase,1%,43%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,4232,Ron Russell Middle School,Michael Contreras,Grade(s) 6-8,M,Multnomah,797,48%,32,12%,81%,95%,48,17,2,14%,86%,No,25,Decrease,1,25,78%,Decrease,3%,80%,High,48%,Decrease,5%,54%,36%,Decrease,6%,39%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,978,Ventura Park Elementary School,Holly Schauer,Grade(s) K-5,E,Multnomah,367,37%,24,12%,67%,92%,21,17,1,14%,81%,No,23,Increase,1,25,86%,Increase,2%,80%,Average,44%,Increase,8%,51%,27%,Increase,2%,43%,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,979,West Powellhurst Elementary School,Susan Olds,Grade(s) K-5,E,Multnomah,389,43%,24,10%,84%,93%,20,13,1,14%,70%,Yes,24,Decrease,2,25,83%,Decrease,3%,80%,High,36%,Increase,1%,51%,32%,Increase,10%,43%,,,,,,,,,,,,,,,,
2253,Dayton SD 8,1211,Dayton Grade School,Stephanie Ewing,Grade(s) K-5,E,Yamhill,442,26%,2,13%,>95%,95%,23,9,1,13%,75%,Yes,25,Decrease,1,25,84%,Increase,4%,80%,Average,39%,Decrease,5%,51%,31%,Decrease,2%,43%,,,,,,,,,,,,,,,,
2253,Dayton SD 8,1212,Dayton High School,Mike Solem,Grade(s) 9-12,H,Yamhill,315,20%,2,13%,>95%,95%,16,5,1,9%,83%,Yes,17,Decrease,1,25,71%,Increase,10%,80%,,,,,,,,,,79%,Decrease,1%,85%,97%,Increase,7%,79%,93%,Increase,1%,85%,53%,Increase,2%,62%
2253,Dayton SD 8,1291,Dayton Jr High School,Mike Solem,Grade(s) 6-8,M,Yamhill,250,21%,2,12%,>95%,93%,12,4,1,9%,90%,Yes,24,Increase,1,25,78%,Increase,5%,80%,Low,38%,Decrease,7%,54%,36%,Increase,9%,39%,,,,,,,,,,,,,,,,
2011,Dayville SD 16J,3353,Dayville School,Kathryn Hedrick,Grade(s) K-12,H,Grant,43,*,1,*,53%,80%,6,2,0,19%,43%,Yes,9,Increase,2,25,70%,Decrease,13%,80%,,,,,,,,,,,Unavailable,,85%,50%,Decrease,50%,79%,100%,No Change,,85%,,Unavailable,,62%
2017,Diamond SD 7,348,Diamond Elementary School,Rae-Jean Neumann,Grade(s) K-8,E,Harney,5,*,1,*,*,*,1,0,0,0%,100%,Yes,5,Increase,1,25,*,Unavailable,,80%,*,,Unavailable,,52%,,Unavailable,,41%,,,,,,,,,,,,,,,,
2021,Double O SD 28,352,Double O Elementary School,Karla Neuschwander,Grade(s) K-8,E,Harney,6,*,1,*,*,*,1,0,0,0%,100%,Yes,6,Increase,3,25,*,Unavailable,,80%,*,,Unavailable,,52%,,Unavailable,,41%,,,,,,,,,,,,,,,,
1993,Douglas County SD 15,3348,Days Creek Charter School,Steve Woods,Grade(s) K-12,H,Douglas,197,*,2,15%,71%,89%,14,5,0,10%,81%,Yes,17,Increase,1,25,70%,Decrease,7%,80%,,,,,,,,,,92%,Increase,15%,85%,81%,Decrease,11%,79%,92%,Increase,18%,85%,42%,Decrease,5%,62%
1991,Douglas County SD 4,269,Eastwood Elementary School,Jennifer Thompson,Grade(s) K-5,E,Douglas,407,<5%,3,14%,70%,96%,23,10,1,18%,88%,No,22.5,Decrease,2,25,78%,Decrease,3%,80%,High,49%,Increase,4%,51%,33%,Decrease,5%,43%,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,270,Fir Grove Elementary School,Lisa Dickover,Grade(s) K-5,E,Douglas,320,*,7,19%,74%,92%,16,12,1,17%,76%,Yes,23,Decrease,1,25,83%,Increase,2%,80%,Low,55%,Increase,11%,51%,46%,Increase,1%,43%,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,271,Fullerton IV Elementary School,Katrina Hanson,Grade(s) K-5,E,Douglas,362,<5%,7,18%,63%,92%,22,9,1,20%,73%,Yes,23,No Change,,25,88%,Decrease,1%,80%,High,56%,Increase,4%,51%,38%,Increase,3%,43%,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,272,Green Elementary School,Amy Rodriguez,Grade(s) K-5,E,Douglas,271,*,4,14%,62%,97%,16,7,1,26%,67%,Yes,20,Decrease,1,25,87%,Decrease,3%,80%,Average,36%,Increase,2%,51%,31%,Increase,3%,43%,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,273,Hucrest Elementary School,Doug Freeman,Grade(s) K-5,E,Douglas,478,<5%,7,9%,34%,92%,21,8,1,20%,82%,Yes,25,Increase,1,25,87%,Decrease,1%,80%,High,60%,Decrease,3%,51%,52%,Increase,1%,43%,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,278,John C Fremont Middle School,Ben Bentea,Grade(s) 6-8,M,Douglas,725,<5%,7,11%,56%,92%,39,14,2,20%,70%,Yes,24,Decrease,1,25,77%,Decrease,2%,80%,High,51%,No Change,,54%,41%,Decrease,2%,39%,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,279,Joseph Lane Middle School,Nicki Opp,Grade(s) 6-8,M,Douglas,662,<5%,9,13%,57%,93%,36,9,2,10%,86%,No,23,Decrease,3,25,76%,No Change,,80%,Average,53%,Decrease,4%,54%,39%,Increase,3%,39%,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,274,Melrose Elementary School,Tammy Rasmussen,Grade(s) K-5,E,Douglas,350,*,7,15%,28%,90%,15,10,1,11%,76%,Yes,25,No Change,,25,86%,Decrease,1%,80%,High,61%,Increase,4%,51%,53%,Increase,2%,43%,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,4391,Phoenix School,Brandy Osborn,Grade(s) 8-12,H,Douglas,178,*,2,17%,62%,98%,17,0,3,35%,33%,No,17,Increase,1,25,24%,Decrease,13%,80%,,,,,,,,,,64%,Increase,14%,85%,23%,Increase,12%,79%,35%,Decrease,3%,85%,,Unavailable,,62%
1991,Douglas County SD 4,5398,Rose School,Randal Olsen,Grade(s) 9-12,H,Douglas,60,*,2,*,60%,95%,5,2,0,61%,80%,Yes,14.5,Increase,6,25,24%,Decrease,1%,80%,,,,,,,,,,25%,Increase,16%,85%,14%,Unavailable,,79%,*,Unavailable,,85%,,Unavailable,,
1991,Douglas County SD 4,280,Roseburg High School,Jill Weber,Grade(s) 9-12,H,Douglas,1423,<5%,18,10%,38%,94%,74,20,6,13%,93%,Yes,23,Decrease,2,25,75%,Increase,1%,80%,,,,,,,,,,90%,Increase,5%,85%,76%,Decrease,1%,79%,87%,Increase,2%,85%,59%,Decrease,8%,62%
1991,Douglas County SD 4,276,Sunnyslope Elementary School,Don Schrader,Grade(s) K-5,E,Douglas,274,*,2,18%,72%,96%,16,10,1,22%,82%,Yes,22,No Change,,25,80%,No Change,,80%,Average,53%,Increase,8%,51%,31%,Decrease,2%,43%,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,277,Winchester Elementary,Rick Snyder,Grade(s) K-5,E,Douglas,319,*,2,13%,63%,94%,19,8,1,29%,74%,No,20.5,Decrease,1,25,84%,Increase,3%,80%,Average,43%,Increase,3%,51%,26%,Increase,3%,43%,,,,,,,,,,,,,,,,
2019,Drewsey SD 13,350,Drewsey Elementary School,Jodi Miller,Grade(s) K-8,E,Harney,7,*,1,*,*,*,1,1,0,0%,100%,No,7,Decrease,1,25,*,Unavailable,,80%,*,,Unavailable,,52%,,Unavailable,,41%,,,,,,,,,,,,,,,,
2229,Dufur SD 29,3402,Dufur School,Jenny Collins,Grade(s) K-12,H,Wasco,336,*,3,14%,>95%,97%,20,11,1,10%,81%,No,20,No Change,,25,76%,Decrease,2%,80%,,,,,,,,,,83%,Decrease,3%,85%,74%,Decrease,22%,79%,96%,Increase,6%,85%,31%,Decrease,22%,62%
2043,Eagle Point SD 9,5251,Crater Lake Charter Academy,Stephanie Pogue,Grade(s) K-12,H,Jackson,297,*,6,15%,54%,86%,8,7,0,49%,25%,Yes,20,Decrease,1,25,>95%,No Change,,80%,,,,,,,,,,96%,Increase,>1%,85%,81%,Increase,8%,79%,80%,Increase,18%,85%,50%,Increase,21%,62%
2043,Eagle Point SD 9,397,Eagle Point High School,Andy Kovach,Grade(s) 9-12,H,Jackson,980,20%,17,11%,62%,94%,49,16,2,17%,81%,No,25,Decrease,1,25,79%,No Change,,80%,,,,,,,,,,89%,Increase,9%,85%,86%,Increase,7%,79%,92%,Increase,2%,85%,48%,No Change,,62%
2043,Eagle Point SD 9,396,Eagle Point Middle School,Heather Marinucci,Grade(s) 6-8,M,Jackson,423,<5%,8,9%,54%,95%,20,9,0,25%,80%,No,28,Decrease,1,25,86%,Increase,3%,80%,High,55%,Decrease,1%,54%,38%,Decrease,1%,39%,,,,,,,,,,,,,,,,
2043,Eagle Point SD 9,4020,Eagle Rock Elementary School,Joni Parsons,Grade(s) K-5,E,Jackson,323,*,4,10%,55%,90%,15,14,0,13%,93%,No,27,No Change,,25,90%,Increase,1%,80%,High,50%,Increase,2%,51%,51%,Increase,11%,43%,,,,,,,,,,,,,,,,
