,Atr1,Atr2,Atr3,Atr4,Atr5,Atr6,Atr7,Atr8,Atr9,Atr10,Atr11,Atr12,Atr13,Atr14,Atr15,Atr16,Atr17,Atr18,Atr19,Atr20,Atr21,Atr22,Atr23,Atr24,Atr25,Atr26,Atr27,Atr28,Atr29,Atr30,Atr31,Atr32,Atr33,Atr34,Atr35,Atr36,Atr37,Atr38,Atr39,Atr40,Atr41,Atr42,Atr43,Atr44,Atr45,Atr46,Atr47,Atr48,Atr49,Atr50,Atr51,Atr52,Atr53,Atr54,Class
60,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Seldom,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
61,Frequently,Averagely,Averagely,Frequently,Frequently,Averagely,Seldom,Averagely,Averagely,Frequently,Frequently,Averagely,Frequently,Averagely,Averagely,Frequently,Frequently,Averagely,Frequently,Averagely,Averagely,Frequently,Frequently,Averagely,Frequently,Averagely,Averagely,Frequently,Frequently,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
62,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Seldom,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
63,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Seldom,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
64,Frequently,Frequently,Always,Always,Frequently,Seldom,Seldom,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Divorced
65,Frequently,Frequently,Frequently,Averagely,Frequently,Seldom,Seldom,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Divorced
66,Frequently,Frequently,Averagely,Frequently,Frequently,Seldom,Seldom,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Divorced
67,Always,Averagely,Averagely,Frequently,Always,Averagely,Never,Averagely,Averagely,Frequently,Always,Averagely,Always,Averagely,Averagely,Frequently,Always,Averagely,Always,Averagely,Averagely,Frequently,Always,Averagely,Always,Averagely,Averagely,Frequently,Always,Averagely,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Divorced
68,Frequently,Frequently,Frequently,Averagely,Frequently,Seldom,Seldom,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Divorced
69,Always,Always,Always,Frequently,Always,Averagely,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Never,Always,Never,Always,Always,Never,Always,Always,Never,Always,Always,Never,Seldom,Never,Averagely,Never,Always,Never,Averagely,Always,Always,Seldom,Always,Never,Always,Always,Always,Frequently,Always,Always,Always,Always,Divorced
70,Frequently,Frequently,Frequently,Averagely,Frequently,Seldom,Seldom,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Frequently,Always,Frequently,Always,Frequently,Divorced
71,Averagely,Averagely,Frequently,Averagely,Averagely,Averagely,Averagely,Averagely,Frequently,Averagely,Averagely,Averagely,Averagely,Averagely,Frequently,Averagely,Averagely,Averagely,Averagely,Averagely,Frequently,Averagely,Averagely,Averagely,Averagely,Averagely,Frequently,Averagely,Averagely,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
72,Frequently,Frequently,Frequently,Frequently,Frequently,Seldom,Seldom,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Divorced
73,Always,Frequently,Frequently,Frequently,Frequently,Seldom,Always,Never,Always,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Averagely,Averagely,Averagely,Frequently,Averagely,Averagely,Averagely,Averagely,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Divorced
74,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Seldom,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Frequently,Always,Frequently,Always,Frequently,Divorced
75,Always,Always,Frequently,Frequently,Always,Never,Always,Averagely,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Never,Never,Averagely,Always,Always,Always,Always,Seldom,Seldom,Never,Always,Averagely,Never,Never,Never,Never,Frequently,Never,Always,Always,Always,Always,Always,Always,Always,Averagely,Always,Always,Frequently,Always,Always,Seldom,Seldom,Never,Divorced
76,Frequently,Averagely,Always,Frequently,Frequently,Averagely,Frequently,Averagely,Averagely,Frequently,Always,Frequently,Averagely,Frequently,Seldom,Frequently,Frequently,Frequently,Frequently,Always,Averagely,Seldom,Never,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always,Frequently,Never,Never,Never,Never,Never,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Divorced
77,Averagely,Averagely,Averagely,Frequently,Averagely,Frequently,Averagely,Seldom,Frequently,Averagely,Seldom,Averagely,Averagely,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Averagely,Seldom,Seldom,Frequently,Frequently,Frequently,Averagely,Frequently,Averagely,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Always,Frequently,Always,Averagely,Averagely,Frequently,Frequently,Averagely,Seldom,Seldom,Averagely,Averagely,Averagely,Divorced
78,Frequently,Averagely,Always,Frequently,Frequently,Averagely,Frequently,Averagely,Averagely,Frequently,Always,Frequently,Averagely,Averagely,Seldom,Frequently,Frequently,Frequently,Frequently,Always,Averagely,Seldom,Never,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Always,Frequently,Never,Never,Frequently,Never,Never,Never,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Divorced
79,Always,Averagely,Always,Averagely,Seldom,Averagely,Frequently,Seldom,Seldom,Frequently,Frequently,Frequently,Averagely,Averagely,Frequently,Averagely,Averagely,Frequently,Frequently,Averagely,Averagely,Averagely,Averagely,Frequently,Always,Always,Frequently,Frequently,Frequently,Always,Always,Always,Averagely,Averagely,Never,Never,Always,Frequently,Always,Always,Frequently,Seldom,Seldom,Always,Seldom,Averagely,Seldom,Frequently,Frequently,Frequently,Frequently,Seldom,Seldom,Seldom,Divorced
80,Averagely,Never,Averagely,Always,Averagely,Averagely,Always,Frequently,Always,Frequently,Averagely,Frequently,Frequently,Never,Always,Always,Frequently,Frequently,Frequently,Averagely,Averagely,Seldom,Averagely,Never,Never,Never,Never,Never,Averagely,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Seldom,Frequently,Averagely,Frequently,Frequently,Always,Always,Averagely,Frequently,Averagely,Averagely,Frequently,Frequently,Always,Averagely,Averagely,Divorced
81,Always,Always,Frequently,Frequently,Averagely,Never,Averagely,Always,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Always,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Seldom,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Averagely,Averagely,Frequently,Averagely,Averagely,Averagely,Averagely,Averagely,Frequently,Frequently,Frequently,Frequently,Always,Divorced
82,Always,Always,Frequently,Always,Always,Never,Never,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Frequently,Averagely,Averagely,Frequently,Seldom,Averagely,Averagely,Seldom,Frequently,Averagely,Averagely,Frequently,Frequently,Seldom,Averagely,Seldom,Always,Always,Frequently,Frequently,Frequently,Seldom,Frequently,Frequently,Frequently,Frequently,Seldom,Averagely,Frequently,Averagely,Averagely,Averagely,Averagely,Seldom,Averagely,Divorced
83,Frequently,Frequently,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Never,Never,Never,Averagely,Never,Never,Never,Never,Never,Averagely,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Frequently,Averagely,Averagely,Averagely,Always,Always,Always,Divorced
84,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Seldom,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Seldom,Never,Never,Never,Seldom,Never,Never,Never,Seldom,Never,Never,Seldom,Married
85,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Seldom,Averagely,Frequently,Seldom,Never,Never,Seldom,Seldom,Never,Never,Never,Married
86,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Averagely,Never,Seldom,Seldom,Seldom,Seldom,Never,Never,Never,Seldom,Seldom,Seldom,Married
87,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Never,Never,Never,Never,Averagely,Never,Never,Seldom,Averagely,Averagely,Seldom,Married
88,Always,Never,Frequently,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Married
89,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Averagely,Seldom,Never,Seldom,Seldom,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Seldom,Seldom,Seldom,Never,Seldom,Seldom,Married
90,Never,Seldom,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Seldom,Never,Frequently,Never,Seldom,Never,Never,Never,Averagely,Never,Never,Married
91,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Never,Never,Averagely,Never,Averagely,Frequently,Averagely,Averagely,Seldom,Seldom,Never,Married
92,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Seldom,Never,Seldom,Seldom,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Averagely,Never,Averagely,Seldom,Never,Never,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Married
93,Never,Seldom,Never,Seldom,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Seldom,Never,Never,Never,Averagely,Seldom,Never,Never,Never,Averagely,Seldom,Seldom,Seldom,Seldom,Averagely,Seldom,Seldom,Seldom,Never,Never,Never,Married
94,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Seldom,Never,Never,Never,Never,Averagely,Seldom,Seldom,Seldom,Never,Never,Averagely,Never,Seldom,Never,Seldom,Never,Never,Never,Never,Never,Never,Averagely,Averagely,Averagely,Averagely,Seldom,Never,Never,Married
95,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Frequently,Averagely,Never,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Married
96,Never,Frequently,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Averagely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Seldom,Never,Seldom,Never,Never,Never,Never,Never,Never,Seldom,Never,Seldom,Never,Seldom,Seldom,Seldom,Always,Never,Never,Averagely,Never,Never,Never,Married
97,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Always,Averagely,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Always,Averagely,Never,Always,Averagely,Seldom,Seldom,Never,Never,Never,Seldom,Never,Never,Married
98,Never,Never,Never,Never,Never,Averagely,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Seldom,Always,Averagely,Frequently,Never,Never,Never,Averagely,Always,Seldom,Married
99,Never,Seldom,Averagely,Seldom,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Never,Never,Never,Seldom,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Averagely,Averagely,Never,Seldom,Never,Seldom,Averagely,Never,Never,Never,Frequently,Averagely,Seldom,Married
100,Never,Never,Averagely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Seldom,Never,Seldom,Never,Never,Seldom,Never,Never,Never,Never,Never,Averagely,Never,Averagely,Averagely,Seldom,Averagely,Never,Never,Never,Always,Always,Never,Married
101,Never,Never,Seldom,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Never,Never,Never,Never,Never,Seldom,Never,Averagely,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Never,Never,Averagely,Averagely,Never,Never,Seldom,Seldom,Frequently,Always,Never,Married
102,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Averagely,Always,Averagely,Frequently,Seldom,Seldom,Averagely,Never,Never,Seldom,Always,Seldom,Averagely,Married
103,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Never,Frequently,Never,Frequently,Frequently,Seldom,Averagely,Seldom,Seldom,Seldom,Never,Seldom,Never,Married
104,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Seldom,Seldom,Seldom,Never,Never,Never,Never,Never,Seldom,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Never,Frequently,Always,Frequently,Never,Averagely,Averagely,Averagely,Never,Never,Never,Married
105,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Seldom,Seldom,Never,Never,Never,Never,Never,Seldom,Seldom,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Seldom,Never,Never,Seldom,Never,Seldom,Never,Never,Never,Averagely,Averagely,Averagely,Never,Never,Averagely,Averagely,Averagely,Averagely,Seldom,Seldom,Never,Married
106,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Frequently,Seldom,Frequently,Seldom,Frequently,Frequently,Frequently,Seldom,Never,Married
107,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Never,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Never,Averagely,Averagely,Averagely,Averagely,Always,Always,Never,Married
108,Never,Never,Frequently,Never,Never,Seldom,Never,Never,Never,Never,Never,Averagely,Never,Never,Seldom,Never,Seldom,Never,Never,Seldom,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Seldom,Never,Averagely,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Seldom,Never,Seldom,Seldom,Seldom,Frequently,Frequently,Averagely,Averagely,Never,Never,Never,Married
109,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Never,Never,Seldom,Never,Never,Seldom,Never,Never,Never,Seldom,Seldom,Averagely,Never,Seldom,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Married
110,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Seldom,Never,Never,Seldom,Seldom,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Frequently,Averagely,Seldom,Frequently,Never,Averagely,Frequently,Frequently,Averagely,Seldom,Never,Never,Married
111,Seldom,Seldom,Seldom,Seldom,Seldom,Never,Never,Seldom,Seldom,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Averagely,Frequently,Frequently,Frequently,Frequently,Seldom,Seldom,Never,Married
112,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Frequently,Seldom,Frequently,Frequently,Frequently,Averagely,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Married
113,Never,Averagely,Averagely,Seldom,Never,Never,Never,Never,Never,Averagely,Seldom,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Seldom,Frequently,Never,Never,Never,Never,Averagely,Seldom,Never,Averagely,Never,Never,Never,Never,Never,Never,Never,Frequently,Seldom,Seldom,Seldom,Never,Frequently,Never,Married
114,Never,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Seldom,Averagely,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Seldom,Averagely,Never,Never,Never,Never,Seldom,Never,Seldom,Never,Frequently,Seldom,Always,Never,Averagely,Averagely,Never,Seldom,Never,Never,Seldom,Never,Married
115,Never,Seldom,Seldom,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Seldom,Averagely,Never,Seldom,Always,Always,Frequently,Frequently,Seldom,Averagely,Frequently,Seldom,Seldom,Married
116,Never,Never,Never,Never,Never,Averagely,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Seldom,Never,Never,Seldom,Never,Never,Never,Never,Averagely,Always,Never,Always,Frequently,Seldom,Seldom,Averagely,Averagely,Averagely,Seldom,Never,Never,Married
117,Never,Never,Never,Never,Never,Seldom,Never,Seldom,Seldom,Never,Never,Never,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Seldom,Never,Seldom,Never,Never,Never,Never,Seldom,Seldom,Seldom,Seldom,Seldom,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Seldom,Averagely,Averagely,Frequently,Frequently,Averagely,Married
118,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Seldom,Never,Seldom,Seldom,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Never,Always,Seldom,Seldom,Always,Always,Averagely,Averagely,Never,Seldom,Married
119,Never,Seldom,Seldom,Never,Never,Averagely,Never,Never,Never,Never,Never,Averagely,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Seldom,Never,Averagely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Never,Averagely,Seldom,Seldom,Seldom,Never,Married
120,Never,Never,Never,Never,Never,Averagely,Never,Never,Never,Seldom,Never,Never,Never,Never,Seldom,Never,Seldom,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Seldom,Never,Seldom,Never,Never,Seldom,Seldom,Seldom,Never,Never,Always,Averagely,Never,Seldom,Averagely,Seldom,Frequently,Seldom,Seldom,Seldom,Seldom,Seldom,Never,Married
121,Never,Averagely,Averagely,Seldom,Never,Never,Never,Never,Never,Averagely,Seldom,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Seldom,Frequently,Never,Never,Never,Never,Averagely,Seldom,Seldom,Never,Averagely,Never,Never,Never,Never,Never,Never,Frequently,Seldom,Seldom,Seldom,Never,Frequently,Never,Married
122,Never,Never,Seldom,Never,Seldom,Never,Never,Never,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Seldom,Averagely,Never,Never,Never,Averagely,Never,Seldom,Never,Never,Never,Averagely,Never,Seldom,Averagely,Seldom,Frequently,Frequently,Averagely,Averagely,Averagely,Averagely,Never,Married
123,Never,Never,Never,Never,Never,Averagely,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Seldom,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Averagely,Seldom,Never,Frequently,Never,Averagely,Frequently,Always,Frequently,Frequently,Never,Averagely,Married
